antenna	0	Antenna1	833.3333333333334	571.4285714285714
antenna	1	Antenna1	1666.6666666666667	571.4285714285714
antenna	2	Antenna1	2500.0	571.4285714285714
antenna	3	Antenna1	3333.3333333333335	571.4285714285714
antenna	4	Antenna1	4166.666666666667	571.4285714285714
antenna	5	Antenna1	833.3333333333334	1142.857142857143
antenna	6	Antenna1	1666.6666666666667	1142.857142857143
antenna	7	Antenna1	2500.0	1142.857142857143
antenna	8	Antenna1	3333.3333333333335	1142.857142857143
antenna	9	Antenna1	4166.666666666667	1142.857142857143
antenna	10	Antenna1	833.3333333333334	1714.2857142857142
antenna	11	Antenna1	1666.6666666666667	1714.2857142857142
antenna	12	Antenna1	2500.0	1714.2857142857142
antenna	13	Antenna1	3333.3333333333335	1714.2857142857142
antenna	14	Antenna1	4166.666666666667	1714.2857142857142
antenna	15	Antenna1	833.3333333333334	2285.714285714286
antenna	16	Antenna1	1666.6666666666667	2285.714285714286
antenna	17	Antenna1	2500.0	2285.714285714286
antenna	18	Antenna1	3333.3333333333335	2285.714285714286
antenna	19	Antenna1	4166.666666666667	2285.714285714286
antenna	20	Antenna1	833.3333333333334	2857.1428571428573
antenna	21	Antenna1	1666.6666666666667	2857.1428571428573
antenna	22	Antenna1	2500.0	2857.1428571428573
antenna	23	Antenna1	3333.3333333333335	2857.1428571428573
antenna	24	Antenna1	4166.666666666667	2857.1428571428573
antenna	25	Antenna2	1000.0	666.6666666666666
antenna	26	Antenna2	2000.0	666.6666666666666
antenna	27	Antenna2	3000.0	666.6666666666666
antenna	28	Antenna2	4000.0	666.6666666666666
antenna	29	Antenna2	1000.0	1333.3333333333333
antenna	30	Antenna2	2000.0	1333.3333333333333
antenna	31	Antenna2	3000.0	1333.3333333333333
antenna	32	Antenna2	4000.0	1333.3333333333333
antenna	33	Antenna2	1000.0	2000.0
antenna	34	Antenna2	2000.0	2000.0
antenna	35	Antenna2	3000.0	2000.0
antenna	36	Antenna2	4000.0	2000.0
antenna	37	Antenna2	1000.0	2666.6666666666665
antenna	38	Antenna2	2000.0	2666.6666666666665
antenna	39	Antenna2	3000.0	2666.6666666666665
antenna	40	Antenna2	4000.0	2666.6666666666665
antenna	41	Antenna2	1000.0	3333.333333333333
antenna	42	Antenna2	2000.0	3333.333333333333
antenna	43	Antenna2	3000.0	3333.333333333333
antenna	44	Antenna2	4000.0	3333.333333333333
ue	0	UE5-App5	262.76563065587067	349.65952341300664	app5
ue	1	UE5-App5	2036.8015765883213	431.6932395188178	app5
ue	2	UE5-App5	4506.093190880521	153.5765107431873	app5
ue	3	UE5-App5	2681.4739981296007	1329.4585963402096	app5
ue	4	UE5-App5	4260.581008027914	639.4899244911577	app5
ue	5	UE5-App5	1686.7460688892684	1335.8517821211922	app5
ue	6	UE5-App5	1226.571599235538	7.6805437633121985	app5
ue	7	UE5-App5	2181.9426912826766	351.36638550194107	app5
ue	8	UE5-App5	2988.3997229754646	280.43796887527054	app5
ue	9	UE5-App5	1577.9794097055806	1793.838511519468	app5
ue	10	UE5-App5	4527.0878627702095	371.96548095260187	app5
ue	11	UE5-App5	711.7331470930739	3160.4973055908476	app5
ue	12	UE5-App5	107.15863811012923	3644.6910418131924	app5
ue	13	UE5-App5	2867.467020318955	1062.0214993409916	app5
ue	14	UE5-App5	4189.350383331477	3075.410195172454	app5
ue	15	UE5-App5	1717.967328621667	3206.18486857684	app5
ue	16	UE5-App5	1035.105490859891	2436.0012022360224	app5
ue	17	UE5-App5	2635.847685854922	3237.5447600505754	app5
ue	18	UE5-App5	1577.0004979277246	1593.554367720129	app5
ue	19	UE5-App5	3846.6261704797053	2051.495783322396	app5
ue	20	UE5-App5	3424.501256086369	2553.77470395769	app5
ue	21	UE5-App5	3333.621497734832	3560.5041835770726	app5
ue	22	UE5-App5	2431.1962142476764	2674.212417390685	app5
ue	23	UE5-App5	1873.233637480594	128.33338565766633	app5
ue	24	UE5-App5	3771.111686122502	726.6781987442484	app5
ue	25	UE5-App5	4101.130731984721	3654.670001545054	app5
ue	26	UE5-App5	3290.7127128479956	681.337423795962	app5
ue	27	UE5-App5	1685.243847805739	1565.3820349781397	app5
ue	28	UE5-App5	367.3805998403091	1827.6115137356132	app5
ue	29	UE5-App5	2866.2694040381466	1345.0882911400263	app5
ue	30	UE2-App2	946.1202860208043	353.5410224093781	app2
ue	31	UE2-App2	3141.9592961312323	52.303607901200905	app2
ue	32	UE2-App2	1760.2165018079074	917.2899281566566	app2
ue	33	UE2-App2	2660.455455918141	2894.9297411258462	app2
ue	34	UE2-App2	4545.85722490826	2555.5645561331626	app2
ue	35	UE2-App2	4958.973705659826	3856.272630043223	app2
ue	36	UE2-App2	3150.323557911504	934.2593631605522	app2
ue	37	UE2-App2	2419.57360173309	711.1813325650462	app2
ue	38	UE2-App2	4959.79690619829	1778.5551806761475	app2
ue	39	UE2-App2	3758.499139979623	177.47529416976926	app2
ue	40	UE2-App2	674.5032755825313	773.5147031993723	app2
ue	41	UE2-App2	1282.555374135416	1408.838074268255	app2
ue	42	UE2-App2	1360.3773317814312	1737.6400658670022	app2
ue	43	UE2-App2	2102.366226358535	435.374717091925	app2
ue	44	UE2-App2	313.98126536675585	1420.8907262645885	app2
ue	45	UE2-App2	444.85573543194386	1733.3680551947675	app2
ue	46	UE2-App2	43.79751264957367	2143.668273407651	app2
ue	47	UE2-App2	368.34647958254726	2777.129452882241	app2
ue	48	UE2-App2	2021.6321281541525	3941.407351378421	app2
ue	49	UE2-App2	1313.4375585755306	1890.5704508877664	app2
